QUT ID #,Reference #,Name of Model,Manufacturer,Location,W Count,Q Count,Total Count,Expected Quantity
5.72,NS 21,Foot with Ligaments,SOMSO,Cupboard 19,7,2,9,9
5.73,NS 37,Ligaments of the Ankle with Open Talonavicular Joint,SOMSO,Cupboard 19,5,0,5,5
6.01,BS 36,Skeletal Muscular Fibre on Green Base,SOMSO,Cupboard 28,6,3,9,9
6.02,0779-00,Complete Sarcomere,Denoyer Geppert,Q704,0,1,1,1
6.03,6000.32,Skeletal Muscle Fibre on Grey Base,Altay Scientific,Cupboard 28,2,2,4,4
6.04,B60,Skeletal Muscle Fibre on White Base,3B,Cupboard 28,4,0,4,4
7.00,HS 6/1,Heart with Conducting System ,SOMSO,Cupboard 27,8,0,8,8
7.01,HS 5,Heart,SOMSO,Cupboard 27,2,0,2,2
7.012,HS 3,Heart - 3/4 Natural Size (2 parts),SOMSO,Q704,0,1,1,1
7.013,HS 4,Heart - Natural Size (2 parts),SOMSO,Q704,0,3,3,3
7.014,HS 6,Heart - 1 1/2 Natural Size (5 parts),SOMSO,Q704,0,2,2,2
7.04,HS 22,Heart on Diaphragm Base,SOMSO,Cupboard 26,5,2,7,7
7.05,HS 15/1,Triple Bypass Heart,SOMSO,Cupboard 27,1,0,1,1
7.06,HS 24,Foetal Heart (3 parts),SOMSO,Cupboard 27,1,2,3,3
7.10,HS 25/2,Artery and Vein,SOMSO,Cupboard 33,6,2,8,8
7.211,,Artery with Cholesterol,GPI Anatomicals,Q704,0,1,1,1
7.41,HS 19,Lymph Node,SOMSO,Cupboard 29,7,4,11,11
7.449,,Heart with diseased parts of arteries,Lippincott Williams & Wilkins,Q704,0,2,2,2
7.50,HS 19/1,Lymphatic Slab,SOMSO,Cupboard 32,6,0,6,6
8.02,BS 20/1,Half Brain,SOMSO,Cupboard 30,5,0,5,5
8.03,QS 65/6,Skull with Arteries - Circle of Willis,SOMSO,Cupboard 30,5,4,9,9
8.036,1020160,"Skull and Cervical Column on Stand - With Arteries and Nerves, Removable Calvaria ",3B,Q704,0,2,2,2
8.05,BS 23,Whole Brain,SOMSO,Cupboard 30,12,3,15,15
8.06,BS 2,Tentorium Skull,SOMSO,Cupboard 31,6,3,9,9
8.061,BS 5/1,Base of the Head (8 parts),SOMSO,Q704,0,2,2,2
8.11,BS 24,Grey Brain Ventricles,SOMSO,Cupboard 31,7,6,13,13
8.12,VH410,Amber Brain Ventricles,3B,Cupboard 31,4,0,4,4
8.21,BS 25/1,Coloured Brain on Base of Skull (with cervical vertebrae),SOMSO,Cupboard 31,6,0,6,6
8.22,BS 23/4,Coloured Brain on Stand (with medial portion of skulls),SOMSO,Cupboard 31,3,0,3,3
8.23,QS 65/7,Brain in Transparent Skull,SOMSO,Cupboard 31,3,0,3,3
8.24,BS 25/T,Transparent Brain with Visible Brainstem,SOMSO,Cupboard 31,1,0,1,1
8.25,BS 23/3,Brain with 1/2 Meninges,SOMSO,Cupboard 31,2,0,2,2
8.26,BS 25/2-T,Brainstem with Deep Brain Structures,SOMSO,Cupboard 31,2,0,2,2
8.27,BS 45,5 Sections of the Brain in Wooden Case,SOMSO,Cupboard 30,2,0,2,2
8.31,BS 31,Spinal Slab,SOMSO,Cupboard 34,6,1,7,7
8.32,QS 21/3,Hanging Vertebral Column with Pelvis ,SOMSO,Compactus,4,2,6,6
8.33,QS 15,Hanging Vertebral Column,SOMSO,Compactus,1,1,2,2
8.34,QS 21/5,Hanging Vertebral Column with Pelvis - Prolapsed Disc and Laminectomy,SOMSO,Compactus,1,1,2,2
8.41,QS 65/5,Pectoral Girdle with Brachial Plexus,SOMSO,Cupboard 42,3,0,3,3
8.42,QS 66/2,Pelvic Girdle with Lumbar Plexus,SOMSO,Cupboard 43,3,0,3,3
8.43,BS 26/1,Nervous System Slab with Digestive Innervation,SOMSO,Cupboard 34,2,0,2,2
8.44,BS 27,Nervous System Slab with Limb Innervation,SOMSO,Cupboard 34,3,0,3,3
8.51,BS 30,Fifth Cervical Vertebra,SOMSO,Cupboard 30,8,5,13,13
8.52,BS 32/37,"Spinal Cord (2 models as 1 piece, on green board, with removable clear box cover)",SOMSO,Cupboard 30,3,0,3,3
8.53,QS 54,6x Example Vertebrae in Case,SOMSO,Cupboard 30,1,0,1,1
8.54,0165-00,Deluxe Spinal Cord - Enlarged 6x,Denoyer Geppert,Q704,0,1,1,1
8.55,BS 33 (part 1),Model 1: Spinal cord with nerves on stand (same as 8.52),SOMSO,Cupboard 30,1,1,2,2
8.56,BS 33 (part 2),Model 2: Section through spinal cord on stand (same as 8.52),SOMSO,Cupboard 30,2,0,2,2
8.61,NA,Neuron - Old,NA,Q704,0,1,1,1
8.62,BS 35/1,"Neuron (1 part, green board)",SOMSO,Cupboard 31,6,4,10,10
8.63,BS 35/3,Synapse,SOMSO,Cupboard 30,7,5,12,12
8.64,0167-00,Motor Neuron Diorama,Denoyer Geppert,Cupboard 31,2,2,4,4
8.71,BS 28,Lumbar Vertebra (L II) with Spinal Cord,SOMSO,Cupboard 30,1,0,1,1
8.72,BS 28/1,Thoracic Vertebra (TH II) with Spinal Cord,SOMSO,Cupboard 30,1,0,1,1
8.73,BS 29,Cervical Vertebra (C VI) with Spinal Cord,SOMSO,Cupboard 30,1,0,1,1
8.81,BS 35,Large Neuron on Clear Base,SOMSO,Cupboard 30,1,0,1,1
9.03,CS 7,Eyeball ( 5 parts),SOMSO,Cupboard 36,2,0,2,2
9.04,CS 2/2,Eye with Eyelid,SOMSO,Cupboard 35,10,3,13,13
9.05,CS 8/1,Large Eye,SOMSO,Cupboard 37,1,0,1,1
9.06,CS 2,Eye without Eyelid,SOMSO,Cupboard 35,2,0,2,2
9.11,DS 5,Ear,SOMSO,Cupboard 38,10,3,13,13
9.14,DS 13,Ear Labyrinth (only has root of nerve network),SOMSO,Cupboard 39,3,1,4,4
9.15,DS 14,Ear Labyrinth with network of nerves,SOMSO,Cupboard 39,2,0,2,2
9.17,DS 10,Section Through the Central Spiral of the Cochlea - Slab,SOMSO,Q704,0,1,1,1
9.18,DS 18,Ear Ossicles on stand,SOMSO,Cupboard 39,2,1,3,3
9.19,DS 17,Labyrinth with Ossicles and Tympanic Membrane (3 parts),SOMSO,Cupboard 39,4,1,5,5
11.01,(From AS 6),Interchangeable sex organs - Male ,SOMSO,Cupboard 45,2,1,3,3
11.02,(From AS 6),Interchangeable sex organs - Female,SOMSO,Cupboard 45,2,1,3,3
11.03,(From AS 7/AS 4),"Chest Piece (Female) 2x from AS 7 Torso, 1x from AS 4 Torso",SOMSO,Cupboard 44,3,1,4,4
11.04,(From AS 7),Chest Piece (Male),SOMSO,Cupboard 44,2,1,3,3
11.05,(From AS 7),Abdominal Muscles,SOMSO,Cupboard 44,2,0,2,2
11.11,MS 2,Male Pelvic Reproductive Slab,SOMSO,Cupboard 46,10,4,14,14
11.12,MS 1,Female Pelvic Reproductive Slab,SOMSO,Cupboard 47,10,4,14,14
11.13,MS 42,Internal Female Genital Organs (2 parts) - Showing an Embryo in the 10th week,SOMSO,W306,1,0,1,1
11.15,MS 3/2,Transparent Model of Male Sexual Organs,SOMSO,Cupboard 40,2,0,2,2
11.16,MS 5/2,Transparent Model of Female Sexual Organs,SOMSO,Cupboard 41,2,0,2,2
11.20,MS 15,Fertilization and Development of the Human Ovum up to the 3rd Month (Display Box of the 16 Models),SOMSO,Compactus,1,0,1,1
11.21,MS 47,Fertilization and Development of the Human Ovum up to the 3rd Month (Individual Set of the 16 Models [A-P]),SOMSO,Compactus,1,0,1,1
11.22,MS 11,Embryo (approximately 4 weeks) - Enlarged 25x,SOMSO,Compactus,2,0,2,2
11.23,MS 46,Human Development of the Embryo up to the end of the 1st Month (Set of 13 models [A-M]),SOMSO,Compactus,2,0,2,2
11.25,MS 21,Obstetric Phantom,SOMSO,W306,1,0,1,1
11.31,MS 12/1,Uterus with Embryo in 1st Month,SOMSO,Compactus,1,0,1,1
11.32,MS 12/2,Uterus with Embryo in 2nd Month,SOMSO,Compactus,1,0,1,1
11.33,MS 12/3,Uterus with Embryo in 3rd Month,SOMSO,Compactus,1,0,1,1
11.34,MS 12/4,Uterus with Foetus in 4th - 5th Month (2 parts) - Abdominal Position,SOMSO,Compactus,1,0,1,1
11.35,MS 12/5,Uterus with Foetus in 5th Month (2 parts) - Breech Position,SOMSO,Compactus,1,0,1,1
11.36,MS 12/6,Uterus with Foetus in 5th Month (2 parts) - Dorsal Position,SOMSO,Compactus,1,0,1,1
11.37,MS 12/7,Uterus with Foetus in 7th month (2 parts) - Normal Position,SOMSO,Compactus,1,0,1,1
11.38,MS 12/8,Uterus with Twin Foetuses in 5th Month (3 parts),SOMSO,Compactus,1,0,1,1
11.39,MS 13/1,Pelvis with Uterus and Foetus in 9th month of Pregnancy (4 parts),SOMSO,W306,1,0,1,1
11.41,MS 50,Ovary Enlarged 10x,SOMSO,Cupboard 48 & 49,4,2,6,6
11.43,MS 08/1,Female Pelvis with Muscles on Clear Base,SOMSO,Cupboard 45,2,0,2,2
11.50,MS 4/1,Fertilisation Slab,SOMSO,W306,2,1,3,3
11.61,MS 45/1,Birth Process - First Stage,SOMSO,W306,1,0,1,1
11.62,MS 45/2,Birth Process - Second Stage,SOMSO,W306,1,0,1,1
11.63,MS 45/3,Birth Process - Third Stage,SOMSO,W306,1,0,1,1
11.71,MS 48/3-1,"Anatomy of Human Embryos (approximately 3 weeks) - Enlarged 53x, Open side",SOMSO,Compactus,1,0,1,1
11.72,MS 48/3-2,"Anatomy of Human Embryos (approximately 3 weeks) - Enlarged 53x, Open front",SOMSO,Compactus,1,0,1,1
